document_section	user_visible_behavior	entry_point	current_backend_implementation	current_sdk_implementation	current_frontend_implementation	persistence_requirements	generated_contracts	current_tests	behavior_that_must_survive	implementation_details_that_may_be_replaced	target_pr	confidence	evidence
§1 §7	Collect goal, audience/scenario, primary input, expected output and key constraints conversationally	POST /agent/run with draft_agent_id	agent_service revision preprocessing and deterministic workflow gate	Search tools gated until requirements confirmed	Chat turns plus RequirementsSummaryCard	Five canonical fields and collection status	Request/Card/state schemas	workflow service/catalog tests; nl2agentCards	Multi-turn clarification and correction; no LLM mutation	Prompt wording and JSON layout	PR1_CORE_WORKFLOW	HIGH	Design §1 §7 §8 §10.1; backend/agents/nl2agent_workflow.py
§10.1	Register normalized requirements summary with SHA-256 fingerprint	POST requirements/register	Workflow service/repository normalize and store summary	None	RequirementsSummaryCard registers on mount	Summary and fingerprint	Request/response and Card schema	workflow tests; registrationLifecycle	Idempotent same summary; changed summary replaces current	Helper location and endpoint plumbing	PR1_CORE_WORKFLOW	HIGH	Design §10.1
§10.1	Confirm requirements only by explicit current Card button	POST requirements/confirm	Confirm checks current fingerprint	None	Confirm disabled until registration	Text yes/continue is not confirmation	Confirm request/response	session catalog tests; nl2agentCards	Stale Card cannot confirm new summary	Separate registration/confirmation methods	PR1_CORE_WORKFLOW	HIGH	Design §10.1
§10.1 §11.4	Revision invalidates old summary confirmation and Delivery cycle	POST /agent/run correction	process_requirements_revision_text mutates before run	None	Provider reloads revised state	Requirements and matching Delivery reset atomically	State response	requirements persistence; persistedCardState	Correction returns to collecting without rolling back unrelated facts	Intent classifier details	PR1_CORE_WORKFLOW	HIGH	Design §7 §8 §10.1
§10.2	Choose one primary available LLM and up to four ordered fallbacks	PUT models	Validates tenant/type/availability/duplicates/order; writes Draft	None	ModelSelectionCard loads available LLMs	Draft business model and ordered model_ids	Model request/response	model limits; workflow; Cards	Maximum five and order preserved	Compensation and duplicate confirmation projection	PR1_CORE_WORKFLOW	HIGH	Design §10.2
§10.2	Reject requested output tokens above primary model capability	Model selection and Finalize	Model capability validation at selection and publication	None	Model form/final review	Request and Draft runtime fields	OpenAPI	model limit/publication tests	Backend and Finalize revalidation	Exact helper placement	PR1_CORE_WORKFLOW	HIGH	Design §10.2
§3 §6	Create distinct tenant Runner and version-0 Draft	POST session/start	Seed/readiness service and transaction create draft_*	Runtime carries Runner and target Draft separately	Builder entries store handoff	runner_agent_id and draft_agent_id	Session start/AgentRequest	seed; persistence; recovery tests	Runner executes; Draft alone receives config	Seed facade/dependency bundles	PR1_CORE_WORKFLOW	HIGH	Design §3 §6.1
§3 §8	Validate tenant user Runner Draft Conversation and active identity on every run	POST /agent/run	validate_nl2agent_run_context resolves owned Session	Context receives validated IDs	Send uses recovered persisted IDs	Durable identity tuple	AgentRequest	agent/lifecycle/send tests	Reject cross-owner/cross-conversation/terminal runs	Name checks and call chain	PR1_CORE_WORKFLOW	HIGH	Design §3 §8 §14.1
§5.4 §6.1	Start Draft Conversation Session and catalog atomically	POST session/start	Caller-owned SQL transaction; Redis warmed after commit	None	Builder entry	Session row plus catalog	Session start response	session persistence/db tests	No orphan visible aggregate	Redis projection and snapshot table	PR1_CORE_WORKFLOW	HIGH	Design §5.4 §6.1
§6.2	Recover active Session by Conversation after refresh/switch	GET by-conversation; GET state	Owner-scoped lifecycle/state services	None	Recovery hook + Provider scope	Session/workflow and domain records	Session/state responses	lifecycle; discovery; recovery tests	Never reuse another Conversation's Draft	sessionStorage maps and projections	PR1_CORE_WORKFLOW	HIGH	Design §6.2 §12
§6.2	List current user's active Builder Sessions	GET sessions	Bounded owner-scoped query	None	Discovery hook	Session owner/status index	Session list response	lifecycle; sessionDiscovery	Owner isolation and bounded list	Exact default limit	PR1_CORE_WORKFLOW	HIGH	Design §6.2 §13
§6.3	Abandon explicitly or when Conversation is deleted	POST abandon; conversation delete	Lifecycle status transition and coordination	None	UI resets scope	Terminal status	Abandon response	lifecycle/conversation tests	Terminal rejects future run/action	Redis cleanup and compensation order	PR5_DELIVERY_RECOVERY_AND_RELEASE	HIGH	Design §6.3
§6.3	Retain and clean active abandoned completed Sessions	Opportunistic cleanup	Lifecycle bounded cleanup	None	None	Status/update_time and soft-delete fields	None	lifecycle/migration tests	Completed Draft retained; abandoned artifacts removed safely	Trigger and per-status env fields	PR5_DELIVERY_RECOVERY_AND_RELEASE	MEDIUM	Design §6.3 §18
§7	Expose deterministic stage expected Cards and allowed actions	GET state; action APIs	Pure evaluator plus guarded mutations	Tools check injected gate	Provider consumes summary	Strict workflow state/revision	State response	workflow/repository/lifecycle tests	LLM text cannot advance state	Module split and redundant projections	PR1_CORE_WORKFLOW	HIGH	Design §7
§8	Use equivalent Chinese and English prompts with compact Current Session	POST /agent/run	YAML loader and persisted summary injection	Per-run context only	Normal chat	No secret or authoritative mutable ID in prompt	Prompt examples checked by contracts	create_agent_info/prompt/contract tests	Allowed-action and fresh Observation discipline	Exact prose and seed wrapper	PR1_CORE_WORKFLOW	HIGH	Design §8
§9.1	Normalize multilingual queries and score consistently	Three search Tools	Inject bounded catalogs/proof callback	Shared NFKC casefold CJK/ASCII fuzzy scoring	Display ordered results	Only batch persists	Card contracts	SDK search tests	Stable OR ranking threshold coverage and top five	Exact weights/library fallback	PR2_LOCAL_RESOURCES	HIGH	Design §9.1; sdk _context.py
§9.2	Search tenant-local Tools and Skills	SearchLocalResourcesTool	Snapshot tenant resources	Rank/dedupe stable IDs	LocalResourcesCard	Catalog and exact batch	Local Card schema	catalog queries; SDK; Cards	Local/MCP/LangChain Tools and tenant Skills; max five	Snapshot encoding and Tool wrapper	PR2_LOCAL_RESOURCES	HIGH	Design §9.2
§10.3	Configure only declared local Tool parameters	POST apply-local-resources	Re-read schema; strict field/type/choice/required validation	Search exposes redacted schema	Typed config controls	ToolInstance config/credential and redacted state	Apply/state contracts	resource/local config tests	Unknown/wrong/missing fields rejected	Repeated validators/DTOs	PR2_LOCAL_RESOURCES	HIGH	Design §10.3
§10.3	Keep local Tool secrets hidden while restoring configured status	Apply and GET state	Redacts defaults/results and uses credential path	Secret defaults removed	Password input; configured flag only	Existing secret store only	State contract	resource/search/persisted-state tests	No secret in prompt/log/state/response	Multiple redaction passes	PR2_LOCAL_RESOURCES	HIGH	Design §10.3 §14.2
§10.3	Apply selected local Tools and Skills atomically/idempotently	POST apply	Reservation plus ToolInstance/SkillInstance transaction/reconcile	None	Apply after registration	Bindings plus batch status	Apply response	resource/registration tests	All-or-nothing and retry-safe	JSON reservation can become same DB transaction	PR2_LOCAL_RESOURCES	HIGH	Design §5.4 §10.3
§10.3	Explicitly Skip the current local batch	POST local skip	Resolve trusted batch and mark skipped	None	Skip button with continuation	Batch status	Skip response	resource/lifecycle tests	Explicit current-batch idempotent Skip	Endpoint wrapper	PR2_LOCAL_RESOURCES	HIGH	Design §10.3
§9.3	Load Registry and Community independently fail-soft and bounded	Session start	Catalog service pages providers and redacts	No network access	UI only sees search	Session immutable catalog	Indirect Card types	catalog tests	One marketplace outage does not erase other; legal empty allowed	Shared snapshot and exact budgets	PR3_ONLINE_CATALOGS	HIGH	Design §6.1 §9.3
§9.3	Search Registry before Community and normalize MCP install options	SearchWebMcpsTool	Supplies trusted snapshot	Normalizes remote/package/container/header/env/templates	WebMcpCard	Catalog + exact batch	MCP Card	SDK/Cards tests	Stable IDs dedupe max five; no invented option	MCP normalizer may move Backend	PR3_ONLINE_CATALOGS	HIGH	Design §9.3
§9.4	Load/search official Skills including resource_missing	SearchWebSkillsTool	Official status catalog	Rank installable/recoverable records	WebSkillCard	Catalog + exact batch	Skill Card	catalog/SDK/Cards tests	resource_missing online but not local; installed not recommended	Status projection location	PR3_ONLINE_CATALOGS	HIGH	Design §9.4
§9.5	Persist exact trusted search proof before actionable Card	Search callback; registration/final validation	Records full ordered refs and verifies equality	Callback fails closed	Cards register exact payload	Recommendation proof/batch	Registration/Card contracts	repository/card validation/registration tests	No add/remove/reorder/substitute/fake empty	Merge proof and batch maps	PR3_ONLINE_CATALOGS	HIGH	Design §9.5
§10.4	Configure and install selected trusted MCP option explicitly	POST mcp/install	Resolve option and declared values	MCP options came from normalized search	Install form	Durable installation provenance/operation	Install contracts	MCP/SDK/Cards tests	No implicit install or LLM fields	Redis lock and dependency wrappers	PR4_INSTALLATION_AND_BINDING	HIGH	Design §10.4
§9.3 §10.4	Support remote package and container MCP options	POST mcp/install	Delegates to existing remote/container services	Canonical option payload	Option-specific form	MCP provenance/config	Card/install contracts	MCP/search tests	All currently representable modes	Normalization and mapping location	PR4_INSTALLATION_AND_BINDING	HIGH	Design §9.3 §10.4
§10.4	Health-check MCP discover/upsert Tools and stop connected	POST mcp/install	Saga calls health/discovery/Tool DB	None	Displays discovered Tools	MCP/ToolInfo plus checkpoint	Install/state response	MCP/persisted-state tests	Discovery retryable; no automatic binding	Saga decomposition	PR4_INSTALLATION_AND_BINDING	HIGH	Design §10.4
§10.4	Bind at least one discovered MCP Tool or explicitly skip	POST bind-tools or skip-tools	Tenant-validates discovered IDs; atomic bindings	None	Bind/Skip controls	ToolInstance and resolution state	Bind/skip responses	MCP/lifecycle tests	Only discovered tenant Tools; idempotent; explicit skip	Separate reservation	PR4_INSTALLATION_AND_BINDING	HIGH	Design §10.4
§5.4 §10.4 §10.5	Serialize concurrent installs and recover retry	MCP/Skill install	Token Redis lock heartbeat plus operation state	None	Busy/error/retry	Durable key/result/checkpoint	Install/state responses	MCP/catalog/repository tests	One active owner; completed replay; expired recovery	Replace Redis with DB lease/advisory lock	PR4_INSTALLATION_AND_BINDING	HIGH	Design §5.4 §14.4
§10.5	Install official Skill and bind immediately	POST install-web-skill	Catalog service + SkillManager + SkillInstance	None	WebSkillCard	Tenant Skill and Draft binding	Skill response/state	catalog/MCP/Cards tests	Install-and-bind idempotently	Move out of catalog service; async boundary	PR4_INSTALLATION_AND_BINDING	HIGH	Design §10.5
§9.4 §10.5	Recover resource_missing official Skill from ZIP	POST install-web-skill	Preserves recoverable candidate and reinstalls	Search includes it online only	WebSkillCard	Durable install result	Skill Card/state	catalog/MCP/SDK tests	Explicit recovery then bind	Status mechanism	PR4_INSTALLATION_AND_BINDING	HIGH	Design §9.4 §10.5
§10.5	Complete online review only after both batches and all work resolved	POST online complete	Checks batches/install/MCP states	None	OnlineConfigurationBar	Online resolution state	Completion response	workflow/Cards tests	Connected MCP must bind/skip; active work blocks	Exact flags	PR4_INSTALLATION_AND_BINDING	HIGH	Design §10.5
§10.6	Choose/edit 2–50 character Agent display name	PUT identity	Persist confirmed display while draft_* internal name stays	None	AgentIdentityCard	Identity plus Draft fields	Identity contract	publication/Cards tests	User choice and collision-safe internal name	Temporary storage field	PR1_CORE_WORKFLOW	HIGH	Design §10.6
§10.6	Show final review from persisted identity/models/resources	GET state/final Card	Summary service joins persisted truth	None	FinalizeCard grouped review	Existing Agent/binding tables	State/Card contracts	summary/publication/Cards tests	LLM proposal cannot override IDs/config	Projection DTOs/grouping helpers	PR1_CORE_WORKFLOW	HIGH	Design §10.6
§10.6	Finalize to version-0 draft_ready after revalidation	POST finalize	Strict proposal; revalidate models/resources/tenant; Draft+Session transaction	None	Finalize submit/success	Draft and completed Session	Finalize contracts	publication/app/Cards tests	No auto-publish; dangling refs block	Publication naming/wrappers	PR1_CORE_WORKFLOW	HIGH	Design §1 §10.6
§11.1	Render seven logical Cards from nine strict fence tags	Final assistant message	Canonical schema validator	Search observations conform	Ajv AST and registry	Registration/Delivery as applicable	Card schema/card TS	contract/validation/Cards tests	No extras duplicates ID mismatch or search tags	Handwritten aliases/parser fallback	PR5_DELIVERY_RECOVERY_AND_RELEASE	HIGH	Design §11.1
§11.2	Mount only complete final assistant message; stream placeholder	SSE final boundary	Validate before persistence	None	FinalMessage validates once; placeholder while generating	Completed message	Card schema	backend validation/integration tests	No partial/history/share/nonlatest/remount side effects	Streaming integration shape	PR5_DELIVERY_RECOVERY_AND_RELEASE	HIGH	Design §11.2
§11.3	Register business payload before Card actions	Mount registration APIs	Verifies stage/proof	None	Lifecycle serializes registration/action	Recommendation/requirements state	Registration APIs	registration/cardLifecycle tests	Buttons inactive until registration success	Per-component flags	PR5_DELIVERY_RECOVERY_AND_RELEASE	HIGH	Design §11.3
§11.3	Persist rendered/failed Delivery for latest completed assistant message	POST card-delivery	Validates identity/message/schema/key/proof and stores idempotently	None	Mount/report helper	Delivery in workflow	Delivery API	workflow/delivery integration tests	Refresh-safe message/card scoped receipt	Representation can remain JSON map	PR5_DELIVERY_RECOVERY_AND_RELEASE	HIGH	Design §11.3
§11.4	Auto-retry invalid/truncated/missing Card at most twice	Failed Delivery	Retry count returns CARD_RETRY attempts 1-2	None	Hidden retry; third manual	Durable reason/count	Delivery response	repository/lifecycle/presentation tests	Receipt transport failure not model failure	Counter location/text	PR5_DELIVERY_RECOVERY_AND_RELEASE	HIGH	Design §11.4
§12	Hidden automatic continuation after stage-completing actions	Action response chat injection	Fixed continuation response	Runner rereads state	Provider sends hidden normal history message	Conversation history	Continuation responses	sendRequest/cardLifecycle/Cards tests	Required actions continue; installs/binds/failures do not	Marker/queue implementation	PR5_DELIVERY_RECOVERY_AND_RELEASE	HIGH	Design §12
§12	Serialize Card registration/action/Delivery/continuation and block input	Provider lifecycle	Backend guards and CAS	Limited to per-run tool	Provider busy/blocker	Durable revision/state	Action/state contracts	cardLifecycle/registration/recovery tests	No duplicate side effect or cross-conversation continuation	Hook/provider split	PR5_DELIVERY_RECOVERY_AND_RELEASE	HIGH	Design §12
§12	Restore selection batches installs bindings receipts and configured flags	GET state	Joins Session and business tables	None	Provider hydrates Cards	Session plus existing tables	State response	persistedCardState/recovery/backend tests	Complete usable recovery; no secret value	Large repeated projection DTOs	PR5_DELIVERY_RECOVERY_AND_RELEASE	HIGH	Design §12
§13	Strict typed APIs and structured errors	All /nl2agent routes	Pydantic extra-forbid and domain HTTP mapping	None	Generated client	No extra persistence	OpenAPI/TS	app errors/session contract tests	Strict IDs/bounds/references and stable conflicts	Response wrapper count	PR5_DELIVERY_RECOVERY_AND_RELEASE	HIGH	Design §13
§14.1	Tenant-scope every resource lookup/binding/install/final reference	All actions	Owner/session and tenant query validation	One tenant catalog	Frontend cannot choose tenant	Session/domain tenant columns	Requests omit tenant override	tenant tests across services	No cross-tenant reference/replay	Helper layering	PR4_INSTALLATION_AND_BINDING	HIGH	Design §14.1
§14.2	Keep secrets out of prompt log state catalog key and response	Config/install actions	Redaction/public result builders and credential path	Clears secret defaults	Password inputs/configured flag	Existing credential storage only	Schema/state	resource/MCP/search tests	Secret values never propagate	Consolidate redaction	PR4_INSTALLATION_AND_BINDING	HIGH	Design §14.2
§14.3	Accept valid HTTP/HTTPS MCP URL without embedded credentials	Remote install	URL parse/validation	None	Trusted option fields	Redacted operation	Install request	URL security/MCP tests	Baseline scheme/credential/TLS correctness	Advanced pinning deferred	PR4_INSTALLATION_AND_BINDING	HIGH	Design §14.3
§14.3	Block private destinations pin DNS/rebinding disable proxies restrict redirects	MCP connect	Custom resolver/pinned transport/client	None	No normal UI	None	None	URL security tests	Public MCP flow with ordinary TLS must remain	Advanced controls may be deferred	PR4_INSTALLATION_AND_BINDING	HIGH	Design §14.3 and scoped deferral
§14.4	Bound requests workflow collections and provider loading	API/start/search	Pydantic bounds and paging budgets	Top five	Form constraints	Correctness bounds remain	OpenAPI/Card bounds	contract/catalog/limit tests	Finite normal loading and valid contracts	Abuse-only ceilings may simplify	PR3_ONLINE_CATALOGS	MEDIUM	Design §9 §13 §14.4
§15	Generate OpenAPI Card copy and TypeScript from canonical sources	contracts sync/check	FastAPI exporter + canonical schema	Schema outputs tested	Generated imports	None	Three generated artifacts	contract/check tests	No backend/frontend/prompt drift	Response DTO organization	GENERATED	HIGH	Design §15
§16	Deploy one convergent schema and local guard	Migration runner/init	Five prototype migrations + repair tool	None	None	Session/snapshot schema	None	migration tests	Fresh and upgrade match; standard advisory migration runner	Prototype sequence and repair tool	PR5_DELIVERY_RECOVERY_AND_RELEASE	HIGH	Design §16
§3 §12	Hide Runner and draft_* from normal lists while final Draft remains addressable	Agent lists/final link	agent_service include_drafts filter	None	Management/selector entries and success link	Existing Agent fields	Agent list types	agent service/Cards tests	Internal artifacts do not pollute selection	Name-prefix filter may later become explicit flag	PR1_CORE_WORKFLOW	MEDIUM	Design §3 §10.6
